Close,Date
167.66845703125,2484
165.1215362548828,2485
169.8558349609375,2486
171.77352905273438,2487
169.3863983154297,2488
173.7711181640625,2489
173.17185974121094,2490
172.7523651123047,2491
172.64248657226562,2492
170.1654510498047,2493
167.5086669921875,2494
169.18663024902344,2495
169.6061248779297,2496
174.70999145507812,2497
177.6300048828125,2498
180.00999450683594,2499
178.7899932861328,2500
176.97000122070312,2501
175.8800048828125,2502
177.94000244140625,2503
177.22999572753906,2504
173.97999572753906,2505
167.72999572753906,2506
166.00999450683594,2507
167.74000549316406,2508
171.49000549316406,2509
174.42999267578125,2510
178.27000427246094,2511
177.38999938964844,2512
176.91000366210938,2513
